New York City,9
New York City,4
Toronto,6
Nuuk,9
Juba,2
Cairo,8
Hamilton,10
Vapi,1
Juba,10
Toronto,10
Madrid,3
Ouagadougou,9
Manila,8
Singapore,7
Mumbai,5
Juba,9
Sana'a,2
Shanghai,3
Beijing,6
Tokyo,9
Kagoshima,4
Seoul,7
Busan,4
Taichung,8
Sapporo,8
Manila,4
Mumbai,9
New Delhi,7
Vapi,9
Dhaka,2
Bangkok,1
Colombo,2
Ho Chi Minh City,4
Lhasa,3
Kabul,3
Bishkek,5
Samarkand,5
Singapore,9
Yakutsk,1
Ardyaloon,4
Port Moresby,4
Wellington,8
Honiara,9
Milford,8
Hawaii,6
Port Moresby,5
Hamburg,9
Paris,7
London,3
Luxembourg,9
Brussels,5
Dublin,4
Copenhagen,7
Stockholm,5
Helsinki,9
Kyiv,6
Warsaw,9
Moscow,5
Tallinn,9
Madrid,8
Lisbon,7
Rome,6
Zagreb,9
Istanbul,3
Balti,4
Athens,9
Barcelona,3
Benidorm,5
Podgorico,2
Arbon,1
Harrison,1
Toronto,1
Brampton,1
Vancouver,1
Taloyoak,2
New York,2
Kansas City,2
Los Angeles,2
Eagle Butte,2
Mexico City,10
Heroica Veracruz,3
Vapi,9
Vancouver,10
Amsterdam,9
Juba,9
New York City,10
Tokyo,6
Berlin,1
Paris,1
Shanghai,8
London,1
Moscow,2
Juba,10
Hitiaa O Te Ra,5
Ouagadougou,7
Lagos,8
Toronto,7
Juba,10
Toronto,4
Berlin,10
New York City,8
Rome,8
Tokyo,10
Tokyo,8
Juba,10
New York City,1
Abidjan,9
Zeloufiet,10
